time,n_positive,n_negative,injected_positive,injected_negative,recombination
4.991282876582e-05,1.150373899900e+08,9.224230738549e+07,1.002589744534e+06,1.002589744534e+06,9.660325700494e+04
5.021717528268e-05,1.154478414703e+08,9.239180950893e+07,1.009051247792e+06,1.009051247792e+06,9.685131669655e+04
5.052152179955e-05,1.158552442659e+08,9.253696252363e+07,1.009119423842e+06,1.009119423842e+06,9.709482272586e+04
5.082586831641e-05,1.162516142564e+08,9.266983511798e+07,1.001148212786e+06,1.001148212786e+06,9.731328123193e+04
5.113021483328e-05,1.166451449707e+08,9.279861405191e+07,1.001391745428e+06,1.001391745428e+06,9.752576483129e+04
5.143456135014e-05,1.170350264791e+08,9.292248960882e+07,1.000802869721e+06,1.000802869721e+06,9.773193132546e+04
5.173890786701e-05,1.174285285605e+08,9.304869420560e+07,1.007516724388e+06,1.007516724388e+06,9.794679979470e+04
5.204325438387e-05,1.178157056159e+08,9.316731307991e+07,1.004231865196e+06,1.004231865196e+06,9.814948808705e+04
5.234760090074e-05,1.182017621646e+08,9.328354728713e+07,1.006174556969e+06,1.006174556969e+06,9.835138649230e+04
5.265194741760e-05,1.185896594876e+08,9.340034031092e+07,1.011100485081e+06,1.011100485081e+06,9.856067202203e+04
5.295629393447e-05,1.189687263230e+08,9.350706831056e+07,1.005293773004e+06,1.005293773004e+06,9.875142822395e+04
5.326064045133e-05,1.193520572523e+08,9.361678745621e+07,1.012649893957e+06,1.012649893957e+06,9.895400295903e+04
5.356498696820e-05,1.197277130060e+08,9.371759737565e+07,1.007996071371e+06,1.007996071371e+06,9.913855562251e+04
5.386933348506e-05,1.200985239001e+08,9.381233961354e+07,1.006175691979e+06,1.006175691979e+06,9.931563053055e+04
5.417368000192e-05,1.204695431159e+08,9.390604830279e+07,1.009424797216e+06,1.009424797216e+06,9.949536197471e+04
5.447802651879e-05,1.208281485225e+08,9.398615700713e+07,9.999652922311e+05,9.999652922311e+05,9.964856016453e+04
5.478237303565e-05,1.211942329379e+08,9.407249144191e+07,1.010493174362e+06,1.010493174362e+06,9.982066126899e+04
5.508671955252e-05,1.215528722415e+08,9.415016382203e+07,1.006016337169e+06,1.006016337169e+06,9.997891355780e+04
5.539106606938e-05,1.219097818447e+08,9.422488748208e+07,1.007277498644e+06,1.007277498644e+06,1.001346271889e+05
5.569541258625e-05,1.222633875486e+08,9.429509776440e+07,1.006951407474e+06,1.006951407474e+06,1.002881399667e+05
5.599975910311e-05,1.226146479289e+08,9.436175421225e+07,1.007583151144e+06,1.007583151144e+06,1.004367493601e+05
5.630410561998e-05,1.229689027510e+08,9.443016976798e+07,1.013586573363e+06,1.013586573363e+06,1.005938696235e+05
5.660845213684e-05,1.233086990751e+08,9.448296945112e+07,1.002032467769e+06,1.002032467769e+06,1.007202194715e+05
5.691279865371e-05,1.236465234934e+08,9.453262712432e+07,1.003008503620e+06,1.003008503620e+06,1.008464912638e+05
5.721714517057e-05,1.239797262234e+08,9.457649580424e+07,1.001302548483e+06,1.001302548483e+06,1.009631777284e+05
5.752149168744e-05,1.243206996133e+08,9.462690815214e+07,1.012055272019e+06,1.012055272019e+06,1.011043361634e+05
5.782583820430e-05,1.246552578623e+08,9.466971521633e+07,1.008552749888e+06,1.008552749888e+06,1.012306049873e+05
5.813018472117e-05,1.249744305750e+08,9.469602487346e+07,9.960097681786e+05,9.960097681786e+05,1.013230540612e+05
5.843453123803e-05,1.252964937689e+08,9.472406742851e+07,1.001821092916e+06,1.001821092916e+06,1.014284128992e+05
5.873887775490e-05,1.256255346794e+08,9.475787703156e+07,1.011748246819e+06,1.011748246819e+06,1.015547295376e+05
5.904322427176e-05,1.259468173805e+08,9.478276441640e+07,1.006865642867e+06,1.006865642867e+06,1.016637204869e+05
5.934757078863e-05,1.262648503187e+08,9.480324980139e+07,1.006511107351e+06,1.006511107351e+06,1.017698526515e+05
5.965191730549e-05,1.265821938178e+08,9.482188733680e+07,1.008728368900e+06,1.008728368900e+06,1.018785409971e+05
5.995626382236e-05,1.268942249144e+08,9.483407418987e+07,1.006293475211e+06,1.006293475211e+06,1.019782693390e+05
6.026061033922e-05,1.272052826768e+08,9.484414038061e+07,1.008214588407e+06,1.008214588407e+06,1.020788691736e+05
6.056495685608e-05,1.275121438101e+08,9.484887564105e+07,1.006886480978e+06,1.006886480978e+06,1.021726398282e+05
6.086930337295e-05,1.278142600189e+08,9.484774534664e+07,1.004996602442e+06,1.004996602442e+06,1.022607617227e+05
6.117364988981e-05,1.281090662234e+08,9.483821073089e+07,1.000509862188e+06,1.000509862188e+06,1.023351377756e+05
6.147799640668e-05,1.284046645522e+08,9.482836291798e+07,1.004156516267e+06,1.004156516267e+06,1.024156670538e+05
6.178234292354e-05,1.287065913270e+08,9.482374728709e+07,1.013378857696e+06,1.013378857696e+06,1.025169602417e+05
6.208668944041e-05,1.290065377963e+08,9.481620780040e+07,1.014266512080e+06,1.014266512080e+06,1.026164283297e+05
6.239103595727e-05,1.292909955169e+08,9.479259481555e+07,1.001560816449e+06,1.001560816449e+06,1.026833622572e+05
6.269538247414e-05,1.295818867821e+08,9.477520425326e+07,1.010887091518e+06,1.010887091518e+06,1.027728283944e+05
6.299972899100e-05,1.298618481018e+08,9.474730395057e+07,1.002745801553e+06,1.002745801553e+06,1.028406665429e+05
6.330407550787e-05,1.301380791660e+08,9.471674864123e+07,1.001819560159e+06,1.001819560159e+06,1.029008110486e+05
6.360842202473e-05,1.304252923531e+08,9.469881045708e+07,1.015691923191e+06,1.015691923191e+06,1.029950906535e+05
6.391276854160e-05,1.307063950760e+08,9.467697199701e+07,1.012393438698e+06,1.012393438698e+06,1.030790280868e+05
6.421711505846e-05,1.309768494420e+08,9.464713471379e+07,1.004524502332e+06,1.004524502332e+06,1.031433479396e+05
6.452146157533e-05,1.312425475945e+08,9.461542817938e+07,1.002560945448e+06,1.002560945448e+06,1.032007342499e+05
6.482580809219e-05,1.314992302054e+08,9.457773466708e+07,9.962859056617e+05,9.962859056617e+05,1.032388736462e+05
6.513015460906e-05,1.317587822755e+08,9.454593798292e+07,1.001939957815e+06,1.001939957815e+06,1.032899792486e+05
6.543450112592e-05,1.320203505115e+08,9.451916732801e+07,1.006742068130e+06,1.006742068130e+06,1.033544704607e+05
6.573884764279e-05,1.322702962234e+08,9.448383851734e+07,9.978230384783e+05,9.978230384783e+05,1.033933902662e+05
6.604319415965e-05,1.325250059056e+08,9.445628250131e+07,1.005376921941e+06,1.005376921941e+06,1.034480582001e+05
6.634754067651e-05,1.327771463117e+08,9.442916762227e+07,1.005563518298e+06,1.005563518298e+06,1.035023027836e+05
6.665188719338e-05,1.330293946857e+08,9.440515751528e+07,1.008449372880e+06,1.008449372880e+06,1.035638369100e+05
